Q,Negociação,C/V,Tipo mercado,Prazo,Especificação do título,Obs. (*),Quantidade,Preço / Ajuste,Valor Operação / Ajuste,D/C
-,1-BOVESPA,C,FRACIONARIO,-,BRASKEMPNA N1,-,2,"38,94","77,88",D
-,1-BOVESPA,C,VISTA,-,FII ALIANZAALZR11CI ER,#,2,"115,86","231,72",D
-,1-BOVESPA,C,VISTA,-,FII HG REALHGRE11CI,-,1,"131,73","131,73",D
-,1-BOVESPA,C,VISTA,-,FII XP MALLSXPML11CI ER,#,1,"96,14","96,14",D
-,1-BOVESPA,C,FRACIONARIO,-,JHSF PARTON NM,-,10,"6,20","62,00",D
-,1-BOVESPA,C,FRACIONARIO,-,KLABIN S/APN N2,-,1,"4,02","4,02",D
-,1-BOVESPA,C,FRACIONARIO,-,MAGAZ LUIZAON NM,-,10,"2,50","25,00",D
-,1-BOVESPA,C,VISTA,-,MAGAZ LUIZAON NM,-,100,"2,50","250,00",D
-,1-BOVESPA,C,VISTA,-,NU-NUBANKDR3,-,10,"3,58","35,80",D
-,1-BOVESPA,C,VISTA,-,OION N1,-,100,"0,56","56,00",D
-,1-BOVESPA,C,FRACIONARIO,-,SANEPARPN N2,-,19,"3,78","71,82",D
-,1-BOVESPA,C,FRACIONARIO,-,SANEPARPN N2,-,1,"3,78","3,78",D
