source,buy_sell,type_market,especs_title,obs,qty,unity_price,operation_price,debit_credit,operation_date,title,tags,ticket
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,2,21.05,42.1,D,03-09-2020,BRASKEM,PNA N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,1,88.41,88.41,D,03-09-2020,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,WEGON NM,-,1,63.92,63.92,D,03-09-2020,WEG,ON NM,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,10,9.36,93.6,D,09-10-2020,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,15,4.79,71.85,D,09-10-2020,KLABIN S/A,PN N2,
1-BOVESPA,C,VISTA,FII MAXI RENMXRF11CI ER,-,11,10.6,116.6,D,09-10-2020,FII MAXI RENMXRF11,CI ER,MXRF11
1-BOVESPA,C,VISTA,FII XP MALLSXPML11CI,-,1,107.89,107.89,D,09-10-2020,FII XP MALLSXPML11,CI,XPML11
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,1,35.0,35.0,D,13-03-2020,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,2,25.3,50.6,D,13-08-2020,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,5,10.15,50.75,D,13-08-2020,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,10,4.92,49.2,D,13-08-2020,KLABIN S/A,PN N2,
1-BOVESPA,C,FRACIONARIO,WEGON NM,-,1,68.59,68.59,D,13-08-2020,WEG,ON NM,
1-BOVESPA,C,VISTA,FII ALIANZAALZR11CI,-,1,128.29,128.29,D,13-08-2020,FII ALIANZAALZR11,CI,ALZR11
1-BOVESPA,C,VISTA,FII CSHG LOGHGLG11CI,-,1,187.75,187.75,D,13-08-2020,FII CSHG LOGHGLG11,CI,HGLG11
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,20,2.93,58.6,D,13-10-2020,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,TAESAPN N2,-,5,9.36,46.8,D,13-10-2020,TAESA,PN N2,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,3,20.95,62.85,D,14-09-2020,TRAN PAULIST,PN N1,
1-BOVESPA,C,VISTA,FII XP MALLSXPML11CI,-,2,108.75,217.5,D,14-09-2020,FII XP MALLSXPML11,CI,XPML11
1-BOVESPA,C,FRACIONARIO,TAESAPN EDJ N2,-,1,10.68,10.68,D,17-11-2020,TAESA,PN EDJ N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,7,8.09,56.63,D,18-11-2020,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,1,23.73,23.73,D,18-11-2020,BRASKEM,PNA N1,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,2,27.15,54.3,D,18-11-2020,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,10,5.01,50.1,D,18-11-2020,SANEPAR,PN N2,
1-BOVESPA,C,VISTA,FII MAXI RENMXRF11CI,-,6,10.57,63.42,D,18-11-2020,FII MAXI RENMXRF11,CI,MXRF11
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,1,12.78,12.78,D,20-03-2020,BRASKEM,PNA N1,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,1,18.25,18.25,D,20-03-2020,TRAN PAULIST,PN N1,
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,2,3.19,6.38,D,25-11-2020,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,2,8.03,16.06,D,25-11-2020,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,7,4.99,34.93,D,25-11-2020,SANEPAR,PN N2,
1-BOVESPA,C,VISTA,FII MAXI RENMXRF11CI,-,2,10.94,21.88,D,28-09-2020,FII MAXI RENMXRF11,CI,MXRF11
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,37,3.22,119.14,D,30-11-2020,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,14,3.22,45.08,D,30-11-2020,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,9,5.1,45.9,D,30-11-2020,SANEPAR,PN N2,
1-BOVESPA,C,VISTA,FII CSHG URBHGRU11CI,-,2,128.16,256.32,D,30-11-2020,FII CSHG URBHGRU11,CI,HGRU11
1-BOVESPA,C,VISTA,FII KINEAKNRI11CI,-,2,159.8,319.6,D,30-11-2020,FII KINEAKNRI11,CI,KNRI11
1-BOVESPA,C,VISTA,FII XP CREDXPCI11CI,-,2,91.0,182.0,D,30-11-2020,FII XP CREDXPCI11,CI,XPCI11
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,2,19.13,38.26,D,01-11-2021,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,3,11.18,33.54,D,01-11-2021,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,SANEPARPN EJ N2,-,50,4.0,200.0,D,07-07-2021,SANEPAR,PN EJ N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN EJ N2,-,8,4.0,32.0,D,07-07-2021,SANEPAR,PN EJ N2,
1-BOVESPA,C,VISTA,FII MAXI RENMXRF11CI ER,#,9,10.02,90.18,D,07-07-2021,FII MAXI RENMXRF11,CI ER,MXRF11
1-BOVESPA,C,VISTA,FII XP CREDXPCI11CI ER,-,1,100.2,100.2,D,07-07-2021,FII XP CREDXPCI11,CI ER,XPCI11
1-BOVESPA,C,VISTA,FII XP MALLSXPML11CI,#,1,104.01,104.01,D,07-07-2021,FII XP MALLSXPML11,CI,XPML11
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,6,7.51,45.06,D,07-12-2021,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,10,3.29,32.9,D,07-12-2021,MELIUZ,ON NM,
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,10,3.32,33.2,D,12-01-2021,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,10,8.86,88.6,D,12-01-2021,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,9,11.92,107.28,D,12-01-2021,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,10,5.92,59.2,D,12-01-2021,KLABIN S/A,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN EJ N2,-,10,4.66,46.6,D,12-01-2021,SANEPAR,PN EJ N2,
1-BOVESPA,C,FRACIONARIO,TAESAPN N2,-,10,11.09,110.9,D,12-01-2021,TAESA,PN N2,
1-BOVESPA,C,VISTA,FII ALIANZAALZR11CI,-,3,124.18,372.54,D,12-01-2021,FII ALIANZAALZR11,CI,ALZR11
1-BOVESPA,C,VISTA,FII CSHG LOGHGLG11CI ER,-,1,183.17,183.17,D,12-01-2021,FII CSHG LOGHGLG11,CI ER,HGLG11
1-BOVESPA,C,FRACIONARIO,AES BRASILON NM,-,5,13.54,67.7,D,16-09-2021,AES BRASIL,ON NM,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,3,8.49,25.47,D,16-09-2021,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,1,11.09,11.09,D,16-09-2021,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,1,4.54,4.54,D,16-09-2021,KLABIN S/A,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,2,3.82,7.64,D,16-09-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,TAESAPN N2,-,2,12.51,25.02,D,16-09-2021,TAESA,PN N2,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,9,10.17,91.53,D,20-04-2021,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,1,4.37,4.37,D,20-04-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,AES TIETE EPN N2,-,5,3.15,15.75,D,22-02-2021,AES TIETE E,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,2,8.09,16.18,D,22-02-2021,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,5,8.09,40.45,D,22-02-2021,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,10,9.81,98.1,D,22-02-2021,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,10,4.18,41.8,D,22-02-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,AES BRASILON NM,-,5,14.03,70.15,D,31-05-2021,AES BRASIL,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,1,26.22,26.22,D,31-05-2021,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,11,4.08,44.88,D,31-05-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,9,4.08,36.72,D,31-05-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,SANEPARPN N2,-,2,4.08,8.16,D,31-05-2021,SANEPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,2,26.54,53.08,D,31-05-2021,TRAN PAULIST,PN N1,
1-BOVESPA,V,VISTA,OION N1,-,100,1.02,102.0,C,02-02-2022,OI,ON N1,
1-BOVESPA,C,VISTA,MAGAZ LUIZAON NM,-,100,4.37,437.0,D,06-05-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,OION N1,-,14,0.78,10.92,D,06-05-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,OION N1,-,56,0.78,43.68,D,06-05-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,TRAN PAULISTPN N1,-,10,24.53,245.3,D,06-05-2022,TRAN PAULIST,PN N1,
1-BOVESPA,C,FRACIONARIO,WEGON NM,-,10,27.31,273.1,D,06-05-2022,WEG,ON NM,
1-BOVESPA,C,VISTA,OION N1,#,100,0.95,95.0,D,07-02-2022,OI,ON N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,2,6.55,13.1,D,09-02-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,MELIUZON NM,-,1,2.96,2.96,D,09-02-2022,MELIUZ,ON NM,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,9,6.44,57.96,D,11-02-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN EJ N1,#,1,9.5,9.5,D,12-09-2022,ITAUSA,PN EJ N1,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,1,4.62,4.62,D,12-09-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,1,44.46,44.46,D,14-04-2022,BRASKEM,PNA N1,
1-BOVESPA,C,VISTA,FII CSHG URBHGRU11CI,-,1,111.92,111.92,D,14-04-2022,FII CSHG URBHGRU11,CI,HGRU11
1-BOVESPA,C,VISTA,FII KINEAKNRI11CI,#,1,136.98,136.98,D,14-04-2022,FII KINEAKNRI11,CI,KNRI11
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,1,15.5,15.5,D,14-04-2022,FLEURY,ON NM,
